id,year,month,day,tmin,tmax,mean_cloud,wind,prcp,wet_day
"FLDAS_00001",2010,6,1,-2.50000,0.200000,0.00000,0.00000,0.400000,1
"FLDAS_00001",2010,6,2,26.9000,30.6000,0.737205,3.73663,0.100000,1
"FLDAS_00001",2010,6,3,26.3000,35.0000,0.462156E-01,3.55379,0.00000,0
"FLDAS_00001",2010,6,4,27.5000,37.0000,0.568022,2.73712,0.00000,0
"FLDAS_00001",2010,6,5,27.2000,30.3000,0.951182,2.91436,0.300000,1
"FLDAS_00001",2010,6,6,26.6000,34.3000,0.357262,3.28595,0.00000,0
"FLDAS_00001",2010,6,7,27.1000,34.5000,0.655172,2.93521,0.00000,0
"FLDAS_00001",2010,6,8,27.0000,36.0000,0.445135,3.49844,0.00000,0
"FLDAS_00001",2010,6,9,27.3000,36.1000,0.615944,3.00406,0.00000,0
"FLDAS_00001",2010,6,10,27.0000,36.0000,0.290479,3.89025,0.00000,0
"FLDAS_00001",2010,6,11,27.5000,33.0000,0.761343,5.10741,0.00000,0
"FLDAS_00001",2010,6,12,27.9000,37.8000,0.621032,5.02590,0.00000,0
"FLDAS_00001",2010,6,13,27.2000,28.6000,0.822213,3.36163,0.600000,1
"FLDAS_00001",2010,6,14,27.6000,33.8000,0.688286,1.61161,0.200000,1
"FLDAS_00001",2010,6,15,27.7000,33.2000,0.818275,4.47611,0.00000,0
"FLDAS_00001",2010,6,16,28.2000,39.0000,0.668391,4.88160,0.00000,0
"FLDAS_00001",2010,6,17,27.2000,33.1000,0.679750,1.84294,0.00000,0
"FLDAS_00001",2010,6,18,28.0000,33.9000,0.957323,0.00000,2.90000,1
"FLDAS_00001",2010,6,19,28.0000,37.0000,0.793385,3.07534,0.00000,0
"FLDAS_00001",2010,6,20,27.1000,34.8000,0.559788,1.01609,0.00000,0
"FLDAS_00001",2010,6,21,27.2000,33.5000,0.621588,2.34133,0.00000,0
"FLDAS_00001",2010,6,22,27.9000,38.2000,0.599537,4.51569,0.00000,0
"FLDAS_00001",2010,6,23,27.0000,33.3000,0.347905,5.38110,0.00000,0
"FLDAS_00001",2010,6,24,27.1000,35.9000,0.463644,2.00481,0.00000,0
"FLDAS_00001",2010,6,25,26.0000,28.9000,0.425216,0.672593,0.00000,0
"FLDAS_00001",2010,6,26,26.9000,35.6000,0.407024,3.37125,0.00000,0
"FLDAS_00001",2010,6,27,27.3000,38.5000,0.454953,3.44994,0.00000,0
"FLDAS_00001",2010,6,28,26.8000,36.8000,0.360224,2.61769,0.00000,0
"FLDAS_00001",2010,6,29,26.8000,33.5000,0.604582,3.43833,0.00000,0
"FLDAS_00001",2010,6,30,26.3000,32.9000,0.678735,4.74501,0.400000,1
"FLDAS_00002",2010,6,1,27.4000,33.7000,0.660857,1.09313,0.00000,0
"FLDAS_00002",2010,6,2,28.2000,33.3000,0.751629,2.02564,1.30000,1
"FLDAS_00002",2010,6,3,28.9000,39.1000,0.250148,0.994127,0.00000,0
"FLDAS_00002",2010,6,4,28.1000,31.5000,0.717018,3.61493,0.600000,1
"FLDAS_00002",2010,6,5,29.0000,33.0000,0.546018,0.00000,0.300000,1
"FLDAS_00002",2010,6,6,29.6000,36.1000,0.248598,3.90088,0.00000,0
"FLDAS_00002",2010,6,7,30.3000,35.7000,0.888262,2.40555,0.00000,0
"FLDAS_00002",2010,6,8,29.7000,33.5000,0.865386,2.58954,1.30000,1
"FLDAS_00002",2010,6,9,30.7000,35.4000,0.565645,2.08298,0.00000,0
"FLDAS_00002",2010,6,10,30.3000,33.7000,0.567425,1.76798,0.00000,0
"FLDAS_00002",2010,6,11,30.1000,31.0000,1.00000,3.97136,0.400000,1
"FLDAS_00002",2010,6,12,30.0000,37.4000,0.240725,0.00000,0.00000,0
"FLDAS_00002",2010,6,13,30.4000,35.8000,0.344163,2.99117,0.00000,0
"FLDAS_00002",2010,6,14,30.6000,38.0000,0.457204,0.917013E-01,0.00000,0
"FLDAS_00002",2010,6,15,30.2000,32.7000,0.429082,2.58427,0.00000,0
"FLDAS_00002",2010,6,16,31.2000,39.4000,0.582048,2.01940,0.00000,0
"FLDAS_00002",2010,6,17,30.0000,33.0000,0.783992,1.44876,0.400000,1
"FLDAS_00002",2010,6,18,31.2000,36.7000,0.530706,0.337236,0.00000,0
"FLDAS_00002",2010,6,19,31.6000,37.9000,0.301870,2.55626,0.00000,0
"FLDAS_00002",2010,6,20,31.4000,34.6000,0.657985,2.86965,0.00000,0
"FLDAS_00002",2010,6,21,31.0000,34.4000,0.645386,3.47435,0.00000,0
"FLDAS_00002",2010,6,22,30.3000,35.7000,0.483967,1.31595,0.00000,0
"FLDAS_00002",2010,6,23,29.2000,34.5000,0.484133,0.00000,0.00000,0
"FLDAS_00002",2010,6,24,29.9000,35.4000,0.482537,2.41312,0.00000,0
"FLDAS_00002",2010,6,25,29.8000,37.5000,0.463809,1.99497,0.00000,0
"FLDAS_00002",2010,6,26,29.0000,35.5000,0.626010,2.33261,0.00000,0
"FLDAS_00002",2010,6,27,29.4000,37.3000,0.236599,2.26193,0.00000,0
"FLDAS_00002",2010,6,28,28.7000,31.4000,0.737939,0.946999,0.00000,0
"FLDAS_00002",2010,6,29,28.4000,33.5000,1.00000,0.00000,0.200000,1
"FLDAS_00002",2010,6,30,29.2000,39.2000,0.610667,5.02793,0.00000,0
"FLDAS_00003",2010,6,1,28.5000,34.7000,0.846224,2.92203,1.60000,1
"FLDAS_00003",2010,6,2,28.5000,35.2000,0.221676,2.18068,0.00000,0
"FLDAS_00003",2010,6,3,29.9000,36.4000,0.429907,3.68576,0.00000,0
"FLDAS_00003",2010,6,4,29.5000,37.5000,0.554441,4.73535,0.00000,0
"FLDAS_00003",2010,6,5,31.6000,37.1000,0.407757,2.35421,0.00000,0
"FLDAS_00003",2010,6,6,28.8000,33.2000,0.499251,0.499778,0.00000,0
"FLDAS_00003",2010,6,7,29.2000,34.2000,0.210019,1.08512,0.00000,0
"FLDAS_00003",2010,6,8,29.4000,33.2000,0.908079,3.38022,0.400000,1
"FLDAS_00003",2010,6,9,29.4000,34.4000,0.327027,2.49278,0.00000,0
"FLDAS_00003",2010,6,10,29.5000,35.3000,0.379033,2.48102,0.00000,0
"FLDAS_00003",2010,6,11,29.4000,34.5000,0.441401,1.02593,0.00000,0
"FLDAS_00003",2010,6,12,30.0000,36.3000,0.770070,1.03700,0.00000,0
"FLDAS_00003",2010,6,13,30.0000,31.8000,0.775620,2.97553,1.50000,1
"FLDAS_00003",2010,6,14,29.7000,37.3000,0.988808,2.21689,0.300000,1
"FLDAS_00003",2010,6,15,28.9000,36.3000,0.00000,0.00000,0.00000,0
"FLDAS_00003",2010,6,16,29.5000,35.8000,0.224708,3.40291,0.00000,0
"FLDAS_00003",2010,6,17,29.6000,33.9000,0.453990,3.12688,0.00000,0
"FLDAS_00003",2010,6,18,29.0000,34.6000,0.128765,1.46513,0.00000,0
"FLDAS_00003",2010,6,19,28.7000,33.5000,0.140289E-01,1.44678,0.00000,0
"FLDAS_00003",2010,6,20,29.5000,39.7000,0.157237,0.103536,0.00000,0
"FLDAS_00003",2010,6,21,29.0000,31.1000,0.312787,2.23402,0.00000,0
"FLDAS_00003",2010,6,22,29.7000,38.7000,0.382832,0.644280,0.00000,0
"FLDAS_00003",2010,6,23,29.9000,34.4000,0.658987,2.93582,0.00000,0
